claim_id,policy_id,claim_date,claim_amount,claim_status,claim_type,adjuster_id,settlement_date
CL001,P001,2023-03-15,5000.00,Settled,Collision,ADJ001,2023-04-10
CL002,P002,2023-04-20,15000.00,Pending,Fire,ADJ002,2023-05-25
CL003,P004,2023-05-05,3000.00,Settled,Theft,ADJ003,2023-06-01
CL004,P005,2023-06-10,50000.00,In Progress,Liability,ADJ001,2023-07-15
CL005,P007,2023-07-01,2000.00,Settled,Collision,ADJ002,2023-07-25
CL006,P006,2023-08-15,10000.00,Pending,Water Damage,ADJ003,2023-09-30
CL007,P008,2023-09-01,100000.00,Settled,Death Benefit,ADJ001,2023-10-15
CL008,P009,2023-10-10,25000.00,In Progress,Property Damage,ADJ002,2023-11-20
CL009,P003,2023-11-05,7500.00,Settled,Medical,ADJ003,2023-12-01
CL010,P010,2023-12-20,1800.00,Pending,Vandalism,ADJ001,2024-01-15